x,y
492.812390504854,240.72393739608287
492.6401993291044,239.75445305735957
492.4632423055383,238.75824830088038
492.2895795204673,237.78063904346627
492.11279520027796,236.78544590592512
491.939333656013,235.8088854150176
491.7659952771935,234.83288564360942
491.5895896189444,233.83941639163478
491.41334429017365,232.84658590699266
491.2404752924646,231.87245619293896
491.0645962517356,230.88097674225781
490.8921185597766,229.90822903855135
490.7166703353111,228.9182137601721
490.54146398996187,227.928980231382
490.3665159531432,226.94055725813004
490.19501598335097,225.97092205036327
490.0206284112412,224.9841905640616
489.846548137188,223.998355527401
489.67279159060564,223.01344574633043
489.4993752009083,222.02949002679918
489.32631539751026,221.0465171747562
489.1536286098259,220.0645559961507
488.9782022953993,219.0658101853831
488.8063183589957,218.085978479685
488.63485702526515,217.1072453890162
488.46072939330054,216.11187568578998
488.2901709863506,215.13544753196857
488.1169967653396,214.14248440430185
487.947408203125,213.168478515625
487.7752555277125,212.17804142505676
487.6036440847517,211.18892406898735
487.43259121619917,210.20115685334056
487.2621142640114,209.21477018404005
487.092230570145,208.2297944670096
486.9229574765563,207.2462601081729
486.75431232520197,206.26419751345367
486.5863124580384,205.28363708877563
486.41599317996446,204.28714071383735
486.2493482069433,203.30970403373308
486.0804439540486,202.3164501925468
485.9152244872371,201.34226106225873
485.7478071325184,200.35237577087474
485.58116707718284,199.3642374743251
485.41532260890875,198.37787823668276
485.2502920153747,197.39333012202067
485.0832204475403,196.39340140151978
484.91988754993173,195.41260491037775
484.7574237109352,194.43371629696236
484.5930205729911,193.43964568301755
484.4295554565817,192.4476174575301
484.26984126988975,191.47471576224126
484.10829299766476,190.48683699330581
483.9477402163003,189.50110137469585
483.7854605497454,188.5006040688652
483.62697454860063,187.51929450719803
483.46954217202716,186.54023002260166
483.3104963561556,185.54662344826795
483.15258102826033,184.55541055024418
482.9958164693731,183.5666268875807
482.8402229605258,182.58030801932802
482.68582078275017,181.5964895045367
482.5326302170781,180.61520690225717
482.3781067080498,179.61992981481552
482.2248785349848,178.62734950413648
482.07296702773124,177.6375033681765
481.9223935161373,176.6504288048921
481.773179330051,175.66616321223972
481.62534579932037,174.68474398817585
481.4764857274432,173.68992425126547
481.32909717726443,172.69812450669016
481.1832025629982,171.70938405364245
481.0388242988587,170.72374219131467
480.89365611301605,169.7251579585151
480.749142594373,168.7334082833156
480.60414204503184,167.7564975473044
480.453864769633,166.76253299624008
480.30144073168344,165.77279795351953
480.1468705577971,164.787293578322
479.9901548745882,163.80602102982692
479.82789099782826,162.80823938978594
479.665115733001,161.82519880368918
479.5001510073795,160.84648415179907
479.33122631781475,159.8618629383041
479.1564775872654,158.8612878165788
